岗位ID,发布日期,年月,城市,城市等级,行业,岗位名称,劳动类型,技能方向,结算方式,时薪_元,参考日薪_元,预计月收入_元,每周工时,招聘人数,岗位热度指数,远程办公,经验要求,学历要求,技能门槛_1至5,成长潜力_1至5,高考毕业生适配,培训后可胜任,企业名称,企业类型,公司规模,数据性质,薪资口径说明
PT202501000024,2025-01-01,2025-01,重庆,新一线,餐饮,餐厅服务员,体力劳动,基础服务,小时结,28.2,169,3419,28,7,52.4,否,无需经验,不限,1,2,是,是,新域电子商务有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501000219,2025-01-01,2025-01,贵阳,二线,本地生活,搬运协助员,体力劳动,基础服务,日结,20.1,161,1915,22,8,56.5,否,有相关经验优先,不限,2,2,是,是,启航数字创意有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501000883,2025-01-01,2025-01,长沙,新一线,教育服务,教室管理助理,体力劳动,基础服务,小时结,27.5,110,1429,12,4,62.3,否,无需经验,不限,1,3,是,是,知行网络技术有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501000950,2025-01-01,2025-01,昆明,二线,本地生活,搬运协助员,体力劳动,基础服务,小时结,23.0,92,1494,15,1,53.6,否,无需经验,高中/中专及以上,1,3,是,是,博思数字创意有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501000972,2025-01-01,2025-01,南昌,二线,会展活动,活动执行助理,体力劳动,基础服务,周结,31.1,249,3097,23,5,59.4,否,无需经验,不限,2,2,是,是,方舟文化传媒有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501001512,2025-01-01,2025-01,深圳,一线,教育科技,Python编程助教,脑力劳动,Python,项目结,133.8,803,9270,16,3,66.3,否,有课程项目经验,大专及以上,3,3,需培训后,是,极光企业服务有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501002278,2025-01-01,2025-01,南京,新一线,商超零售,商超理货员,体力劳动,基础服务,周结,31.5,126,2182,16,7,74.6,否,无需经验,高中/中专及以上,1,2,是,是,博思数字创意有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501002494,2025-01-01,2025-01,成都,新一线,人工智能,AI应用开发助理,脑力劳动,Python+AIGC,周结,179.6,1437,9332,12,3,88.0,是,有课程项目经验,不限,5,5,需培训后,是,云杉文化传媒有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501004880,2025-01-01,2025-01,深圳,一线,市场调研,问卷数据整理员,脑力劳动,普通数字岗位,小时结,53.5,428,5328,23,2,71.1,否,无需经验,高中/中专及以上,3,2,是,是,跃迁数字创意有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501004986,2025-01-01,2025-01,青岛,二线,物流仓储,快递打包员,体力劳动,基础服务,小时结,34.5,138,2390,16,7,54.2,否,无需经验,不限,2,1,是,是,新域教育有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
